name,email,phone,links,role,skills,education,experience_years,summary
Leo Allen,pqfrvkyy@email.com,"+1 5529669922
",https://linkedin.com/in/sseunpsuhu; https://github.com/kcukyvequx,Ai Product Manager,sql; tableau; power bi; r; pandas; mysql; machine learning; statistics; big data; spark; git; docker; plotly; model deployment,Bachelor of Engineering in AI and ML,8,"A dedicated and results-driven AI Product Manager with over 8 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Henry Carter,fopswsps@email.com,"+1 7395333889
",https://linkedin.com/in/qhpvftujlj; https://github.com/ttwtmujbsx,Data Quality Analyst,tableau; power bi; r; java; c++; machine learning; statistics; hadoop; git; docker; seaborn; aws; feature engineering; model deployment; fastapi,Master of Science in Quantitative Finance,12,"A dedicated and results-driven Data Quality Analyst with over 12 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Megan Hill,bmbvqsmp@email.com,"+1 6666845216
",https://linkedin.com/in/wmtylrnttq; https://github.com/hxelyprsjk,Data Analyst,tableau; power bi; r; pandas; c++; machine learning; statistics; git; docker; data wrangling; model deployment,Master of Science in Computational Statistics,10,"A dedicated and results-driven Marketing Data Analyst with over 10 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Caleb Taylor,uoruqzfh@email.com,"+1 8401964447
",https://linkedin.com/in/fzztohvoxy; https://github.com/xlldljuqqx,Data Analyst,python; sql; tableau; power bi; r; postgresql; machine learning; statistics; git; docker; data wrangling; model deployment; data lakes; data governance; a/b testing,Bachelor of Arts in Statistics,13,"A dedicated and results-driven Geospatial Data Analyst with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Katie Gray,tcunpryj@email.com,"+1 5608920308
",https://linkedin.com/in/ctvlztydpz; https://github.com/swocqthuwd,Analytics Consultant,sql; tableau; power bi; r; pandas; excel; c++; machine learning; statistics; git; docker; seaborn; plotly; model deployment,Master of Science in Information Systems,9,"A dedicated and results-driven Analytics Consultant with over 9 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
David Garcia,nwivcvhl@email.com,"+1 7858035552
",https://linkedin.com/in/bxlyfzgdas; https://github.com/birrefyxii,Statistical Programmer,tableau; power bi; r; excel; machine learning; statistics; big data; git; docker; computer vision; matplotlib; plotly; model deployment; data lakes,Master of Science in Business Intelligence,13,"A dedicated and results-driven Statistical Programmer with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Quinn Young,cdddrlvf@email.com,"+1 5062548121
",https://linkedin.com/in/wyncpisoxo; https://github.com/qmxeuuihqj,Data Science Instructor,python; tableau; power bi; r; pandas; c++; machine learning; statistics; git; docker; model deployment; mlops,Bachelor of Science in Information Technology,13,"A dedicated and results-driven Data Science Instructor with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Megan Hill,dleyiuut@email.com,"+1 1989305153
",https://linkedin.com/in/gcenjefqin; https://github.com/ltutmfpxcl,Data Strategist,tableau; power bi; r; numpy; machine learning; deep learning; statistics; git; docker; model deployment; bayesian inference; transformers,Bachelor of Science in Operations Research,15,"A dedicated and results-driven Data Strategist with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Nathan Williams,oxtyukal@email.com,"+1 1814211821
",https://linkedin.com/in/rbwtxbxyii; https://github.com/kshtdrephm,Data Analyst,tableau; power bi; r; c++; machine learning; statistics; git; docker; google cloud platform (gcp); model deployment; mlops; a/b testing; eda; hugging face,Master of Science in Geospatial Data Science,12,"A dedicated and results-driven Public Policy Data Analyst with over 12 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Wendy Martin,vsbqxswd@email.com,"+1 1939826904
",https://linkedin.com/in/lunkfqpqob; https://github.com/bccfpfamtc,Knowledge Graph Engineer,tableau; power bi; r; pandas; machine learning; statistics; git; docker; computer vision; plotly; model deployment; eda; transformers,,7,"A dedicated and results-driven Knowledge Graph Engineer with over 7 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Alice Phillips,wyktnmxr@email.com,"+1 0952325823
",https://linkedin.com/in/wlspjkauku; https://github.com/ptcnwmhiht,Data Analyst,tableau; power bi; r; excel; machine learning; statistics; spark; git; docker; natural language processing; matplotlib; model deployment; data lakes; fastapi,Bachelor of Science in Data Science,11,"A dedicated and results-driven Transportation Data Analyst with over 11 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Nina Parker,doaamjud@email.com,"+1 0326517824
",https://linkedin.com/in/xxxnlajody; https://github.com/yixtcqn,Data Analyst,python; sql; tableau; power bi; r; pandas; machine learning; statistics; big data; spark; git; docker; computer vision; azure; model deployment; bayesian inference; eda,Master of Science in Machine Learning,10,"A dedicated and results-driven Financial Data Analyst with over 10 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
